,Row.names,Protein.Ids,Protein.Names,Genes,Protein.Description,logFC,AveExpr,t,P.Value,adj.P.Val,B,Type,Label
1803,Q14315,Q14315,FLNC_HUMAN,FLNC,Filamin-C,-0.010802171,24.10617899,-0.30283899,0.768581782,0.993471956,-6.190339783,No Change,
1804,Q14320,Q14320,FA50A_HUMAN,FAM50A,Protein FAM50A,-0.059653696,20.61265562,-1.285997309,0.22909775,0.824215589,-5.430290284,No Change,
1805,Q14331,Q14331,FRG1_HUMAN,FRG1,Protein FRG1,-0.054841907,20.71298195,-1.485143776,0.17012231,0.773690362,-5.188186733,No Change,
1806,Q14344,Q03113;Q14344,GNA13_HUMAN,GNA13,Guanine nucleotide-binding protein subunit alpha-13,0.065194263,21.8291229,1.070772761,0.310890208,0.862930896,-5.664171012,No Change,
1807,Q14353,Q14353,GAMT_HUMAN,GAMT,Guanidinoacetate N-methyltransferase,0.013348934,23.05742725,0.440330193,0.669611055,0.986568898,-6.13678732,No Change,
1808,Q14376,Q14376,GALE_HUMAN,GALE,UDP-glucose 4-epimerase,-0.020310282,22.66610776,-0.6396642,0.537607378,0.955287478,-6.025863478,No Change,
1809,Q14444,Q14444,CAPR1_HUMAN,CAPRIN1,Caprin-1,-0.063642548,21.73965502,-1.819705027,0.100609025,0.699476262,-4.737321132,No Change,
1810,Q14457,Q14457,BECN1_HUMAN,BECN1,Beclin-1,0.11226683,19.72393549,1.321182715,0.21757429,0.816855133,-5.389185807,No Change,
1811,Q14498,Q14498,RBM39_HUMAN,RBM39,RNA-binding protein 39,0.045250846,21.45165361,0.742186959,0.476039078,0.941808153,-5.954232639,No Change,
1812,Q14558,Q14558,KPRA_HUMAN,PRPSAP1,Phosphoribosyl pyrophosphate synthase-associated protein 1,-0.055741912,22.28261315,-1.881481619,0.091065552,0.695707826,-4.649211846,No Change,
1813,Q14566,Q14566,MCM6_HUMAN,MCM6,DNA replication licensing factor MCM6,-0.007269451,24.09129532,-0.07765949,0.939720575,0.997839254,-6.235706539,No Change,
1814,Q14651,Q14651,PLSI_HUMAN,PLS1,Plastin-1,-0.046805035,21.28271873,-0.688404401,0.507765315,0.947245835,-5.993002982,No Change,
1815,Q14653,Q14653,IRF3_HUMAN,IRF3,Interferon regulatory factor 3,-0.008126221,21.54948238,-0.292990271,0.77586998,0.995285844,-6.193433374,No Change,
1816,Q14657,Q14657,LAGE3_HUMAN,LAGE3,EKC/KEOPS complex subunit LAGE3,-0.002733662,22.69216483,-0.034209969,0.973422381,0.999039915,-6.238292992,No Change,
1817,Q14671,Q14671;Q8TB72,PUM1_HUMAN,PUM1,Pumilio homolog 1,0.031709266,20.96483263,0.913464724,0.383740657,0.909034652,-5.813972776,No Change,
1818,Q14676,Q14676,MDC1_HUMAN,MDC1,Mediator of DNA damage checkpoint protein 1,0.04669429,22.88763073,1.226462894,0.249743212,0.832488741,-5.498080001,No Change,
1819,Q14677,Q14677,EPN4_HUMAN,CLINT1,Clathrin interactor 1,-0.072563923,20.49442396,-1.956154175,0.080660484,0.69396713,-4.541058559,No Change,
1820,Q14686,Q14686,NCOA6_HUMAN,NCOA6,Nuclear receptor coactivator 6,-0.084864736,20.53924645,-2.201918276,0.05382157,0.660320696,-4.174469996,No Change,
1821,Q14687,Q14687,GSE1_HUMAN,GSE1,Genetic suppressor element 1,-0.255683206,18.95058001,-2.459721244,0.035018476,0.622226421,-3.777232797,No Change,
1822,Q14691,Q14691,PSF1_HUMAN,GINS1,DNA replication complex GINS protein PSF1,-0.017074416,22.16409702,-0.314704687,0.759832624,0.992329784,-6.18647958,No Change,
1823,Q14694,Q14694,UBP10_HUMAN,USP10,Ubiquitin carboxyl-terminal hydrolase 10,0.083200254,20.74216515,1.899875022,0.088391602,0.69396713,-4.622733075,No Change,
1824,Q14696,Q14696,MESD_HUMAN,MESD,LRP chaperone MESD,-0.006592477,23.33064808,-0.133230923,0.896808533,0.997839254,-6.229476063,No Change,
1825,Q14697,Q14697,GANAB_HUMAN,GANAB,Neutral alpha-glucosidase AB,-0.006298725,24.70170807,-0.063212695,0.950915811,0.997839254,-6.236789312,No Change,
1826,Q14738,Q14738,2A5D_HUMAN,PPP2R5D,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,-0.021622404,23.02177797,-0.684805536,0.509933736,0.948885879,-5.995503924,No Change,
1827,Q14746,Q14746,COG2_HUMAN,COG2,Conserved oligomeric Golgi complex subunit 2,-0.067009991,18.0351412,-1.821008045,0.100398479,0.699476262,-4.735476255,No Change,
1828,Q14790,Q14790,CASP8_HUMAN,CASP8,Caspase-8,0.036520372,21.45533114,0.972893232,0.354880762,0.895481436,-5.759632908,No Change,
1829,Q147X3,Q147X3,NAA30_HUMAN,NAA30,N-alpha-acetyltransferase 30,0.021866373,18.50039303,0.509957792,0.621793037,0.975777495,-6.102423023,No Change,
1830,Q14814,Q14814,MEF2D_HUMAN,MEF2D,Myocyte-specific enhancer factor 2D,0.03408923,18.36152636,0.538904458,0.602431511,0.965417873,-6.086736013,No Change,
1831,Q14847,Q14847,LASP1_HUMAN,LASP1,LIM and SH3 domain protein 1,-0.046904288,25.46784397,-0.859500798,0.411364123,0.919313045,-5.860840182,No Change,
1832,Q14914,Q14914,PTGR1_HUMAN,PTGR1,Prostaglandin reductase 1,0.195063191,20.33536592,2.66528098,0.024822839,0.591777236,-3.455000322,No Change,
1833,Q14919,Q14919,NC2A_HUMAN,DRAP1,Dr1-associated corepressor,0.064470713,22.53623778,1.899513254,0.088443477,0.69396713,-4.623254914,No Change,
1834,Q14966,Q14966,ZN638_HUMAN,ZNF638,Zinc finger protein 638,-0.015491684,17.81212146,-0.151402063,0.882845689,0.997839254,-6.226728944,No Change,
1835,Q14974,Q14974,IMB1_HUMAN,KPNB1,Importin subunit beta-1,0.032941693,27.19980518,0.838865124,0.422283377,0.921715369,-5.878122874,No Change,
1836,Q14978,Q14978,NOLC1_HUMAN,NOLC1,Nucleolar and coiled-body phosphoprotein 1,-0.052456703,20.16568962,-0.932406697,0.374364461,0.907711774,-5.79695851,No Change,
1837,Q14980,Q14980,NUMA1_HUMAN,NUMA1,Nuclear mitotic apparatus protein 1,-0.107772419,20.4562897,-2.698321637,0.023487413,0.58339702,-3.40294375,No Change,
1838,Q14997,Q14997,PSME4_HUMAN,PSME4,Proteasome activator complex subunit 4,-0.042237258,24.75476484,-1.022785451,0.331910264,0.881983384,-5.711878532,No Change,
1839,Q14C86,Q14C86,GAPD1_HUMAN,GAPVD1,GTPase-activating protein and VPS9 domain-containing protein 1,-0.017227986,23.25340402,-0.339669273,0.741542926,0.991575893,-6.177884682,No Change,
1840,Q14CX7,Q14CX7,NAA25_HUMAN,NAA25,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",0.148895227,22.2739314,3.682681915,0.004661372,0.471041069,-1.862900329,No Change,
1841,Q15003,Q15003,CND2_HUMAN,NCAPH,Condensin complex subunit 2,-0.054394975,21.86018008,-0.928426637,0.376320777,0.907711774,-5.800557482,No Change,
1842,Q15004,Q15004,PAF15_HUMAN,PCLAF,PCNA-associated factor,-0.026336352,22.71172397,-0.78556257,0.451394454,0.930834841,-5.921088798,No Change,
1843,Q15007,Q15007,FL2D_HUMAN,WTAP,Pre-mRNA-splicing regulator WTAP,-0.094647372,19.80787047,-1.258417243,0.238480246,0.828510248,-5.46197459,No Change,
1844,Q15008,Q15008,PSMD6_HUMAN,PSMD6,26S proteasome non-ATPase regulatory subunit 6,-0.024594516,24.86781563,-0.736424795,0.479376722,0.941808153,-5.958510541,No Change,
1845,Q15014,Q15014,MO4L2_HUMAN,MORF4L2,Mortality factor 4-like protein 2,-0.051236634,19.90892351,-1.091827522,0.30199623,0.859733732,-5.642703824,No Change,
1846,Q15018,Q15018,ABRX2_HUMAN,ABRAXAS2,BRISC complex subunit Abraxas 2,-0.024970872,22.54387326,-0.877872019,0.4018087,0.916822821,-5.845154404,No Change,
1847,Q15019,Q15019,SEPT2_HUMAN,SEPTIN2,Septin-2,0.010799345,24.70004077,0.380950305,0.711674362,0.991575893,-6.162272613,No Change,
1848,Q15024,Q15024,EXOS7_HUMAN,EXOSC7,Exosome complex component RRP42,-0.017471183,23.39833271,-0.45542067,0.659103829,0.983546411,-6.129747054,No Change,
1849,Q15025,Q15025,TNIP1_HUMAN,TNIP1,TNFAIP3-interacting protein 1,-0.108162307,19.85811788,-1.48590641,0.169924371,0.773690362,-5.187217615,No Change,
1850,Q15029,Q15029,U5S1_HUMAN,EFTUD2,116 kDa U5 small nuclear ribonucleoprotein component,-0.020522087,23.8296103,-0.409871774,0.691047955,0.987944533,-6.150303415,No Change,
1851,Q15031,Q15031,SYLM_HUMAN,LARS2,"Leucine--tRNA ligase, mitochondrial",0.063679606,21.61550686,1.337591732,0.212368253,0.814616529,-5.369760366,No Change,
1852,Q15041,Q15041,AR6P1_HUMAN,ARL6IP1,ADP-ribosylation factor-like protein 6-interacting protein 1,0.059594218,20.55719624,0.779230278,0.454939149,0.932659733,-5.926030238,No Change,
1853,Q15046,Q15046,SYK_HUMAN,KARS1,Lysine--tRNA ligase,-0.022907098,25.72279629,-0.703193001,0.498914191,0.945139572,-5.982602313,No Change,
1854,Q15054,Q15054,DPOD3_HUMAN,POLD3,DNA polymerase delta subunit 3,-0.027577509,21.32027335,-0.461418764,0.654948982,0.981377722,-6.126885771,No Change,
1855,Q15056,Q15056,IF4H_HUMAN,EIF4H,Eukaryotic translation initiation factor 4H,-0.109308191,26.23835295,-2.947495525,0.01549446,0.544897433,-3.009465212,No Change,
1856,Q15058,Q15058,KIF14_HUMAN,KIF14,Kinesin-like protein KIF14,0.000586063,18.55189129,0.00642884,0.995004415,0.999931129,-6.238893947,No Change,
1857,Q15061,Q15061,WDR43_HUMAN,WDR43,WD repeat-containing protein 43,0.037005216,19.04010431,0.621172586,0.549193525,0.955287478,-6.03775435,No Change,
1858,Q15067,Q15067,ACOX1_HUMAN,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,0.025708737,22.9087772,0.62183567,0.54877559,0.955287478,-6.037333489,No Change,
1859,Q15075,Q15075,EEA1_HUMAN,EEA1,Early endosome antigen 1,-0.050799947,22.95496709,-0.90582498,0.387569359,0.910397822,-5.820752955,No Change,
1860,Q15084,Q15084,PDIA6_HUMAN,PDIA6,Protein disulfide-isomerase A6,-0.031922203,24.8339493,-0.995087921,0.344521,0.891647976,-5.738625643,No Change,
1861,Q15102,Q15102,PA1B3_HUMAN,PAFAH1B3,Platelet-activating factor acetylhydrolase IB subunit alpha1,0.009291518,23.79364978,0.274533894,0.789589595,0.996485993,-6.198960238,No Change,
1862,Q15121,Q15121,PEA15_HUMAN,PEA15,Astrocytic phosphoprotein PEA-15,0.093013119,22.15603124,1.788589699,0.105759766,0.703404725,-4.781195085,No Change,
1863,Q15126,Q15126,PMVK_HUMAN,PMVK,Phosphomevalonate kinase,-0.031832846,21.93958022,-1.034417358,0.326718929,0.877456155,-5.700472194,No Change,
1864,Q15149,P58107;Q15149,PLEC_HUMAN,PLEC,Plectin,0.015160319,19.81273232,0.324740656,0.752460421,0.992310181,-6.183101366,No Change,
1865,Q15154,Q15154,PCM1_HUMAN,PCM1,Pericentriolar material 1 protein,-0.072355132,21.32448543,-1.157109998,0.275674248,0.85016485,-5.574132191,No Change,
1866,Q15170,Q15170,TCAL1_HUMAN,TCEAL1,Transcription elongation factor A protein-like 1,0.138611272,18.43046992,0.811685354,0.436964794,0.922821792,-5.900336336,No Change,
1867,Q15181,Q15181,IPYR_HUMAN,PPA1,Inorganic pyrophosphatase,0.035055182,28.12062985,0.871958463,0.404867473,0.916822821,-5.850234145,No Change,
1868,Q15185,Q15185,TEBP_HUMAN,PTGES3,Prostaglandin E synthase 3,-0.048137712,28.3401604,-1.381670537,0.198900578,0.807760262,-5.316794618,No Change,
1869,Q15208,Q15208,STK38_HUMAN,STK38,Serine/threonine-protein kinase 38,0.036426697,21.81877719,0.828347894,0.427924063,0.921715369,-5.886792973,No Change,
1870,Q15233,Q15233,NONO_HUMAN,NONO,Non-POU domain-containing octamer-binding protein,0.050372804,19.20426608,1.138812093,0.282862336,0.85016485,-5.593653627,No Change,
1871,Q15257,Q15257,PTPA_HUMAN,PTPA,Serine/threonine-protein phosphatase 2A activator,0.003024589,25.01633293,0.09920451,0.923051271,0.997839254,-6.233679847,No Change,
1872,Q15274,Q15274,NADC_HUMAN,QPRT,Nicotinate-nucleotide pyrophosphorylase [carboxylating],0.039761967,25.85139269,0.980676467,0.351221958,0.894186472,-5.752309606,No Change,
1873,Q15276,Q15276,RABE1_HUMAN,RABEP1,Rab GTPase-binding effector protein 1,0.003421045,21.28116416,0.100928425,0.921719071,0.997839254,-6.233496389,No Change,
1874,Q15286,Q15286,RAB35_HUMAN,RAB35,Ras-related protein Rab-35,-0.086827255,23.57389047,-2.059497626,0.068100614,0.680714404,-4.388716356,No Change,
1875,Q15291,Q15291,RBBP5_HUMAN,RBBP5,Retinoblastoma-binding protein 5,-0.004244593,22.52625373,-0.131116272,0.89843597,0.997839254,-6.229773066,No Change,
1876,Q15293,Q15293,RCN1_HUMAN,RCN1,Reticulocalbin-1,0.058444743,21.08757982,0.533878443,0.605770509,0.965564589,-6.089518154,No Change,
1877,Q15365,Q15365,PCBP1_HUMAN,PCBP1,Poly(rC)-binding protein 1,0.000488704,27.56382299,0.013641586,0.989399972,0.999931129,-6.238816886,No Change,
1878,Q15366,Q15366,PCBP2_HUMAN,PCBP2,Poly(rC)-binding protein 2,-0.000470984,24.68833277,-0.011830618,0.990807085,0.999931129,-6.238841442,No Change,
1879,Q15369,Q15369,ELOC_HUMAN,ELOC,Elongin-C,0.018505922,24.7965939,0.375446949,0.715627949,0.991575893,-6.164454232,No Change,
1880,Q15370,Q15370,ELOB_HUMAN,ELOB,Elongin-B,0.056550881,25.66364044,1.61401709,0.139414243,0.723376328,-5.020337716,No Change,
1881,Q15382,Q15382,RHEB_HUMAN,RHEB,GTP-binding protein Rheb,0.035787815,21.78744214,1.148826712,0.278910078,0.85016485,-5.582998054,No Change,
1882,Q15393,Q15393,SF3B3_HUMAN,SF3B3,Splicing factor 3B subunit 3,0.050720571,23.68806773,1.41594808,0.188935943,0.795932658,-5.274838475,No Change,
1883,Q15398,Q15398,DLGP5_HUMAN,DLGAP5,Disks large-associated protein 5,-0.04573381,21.34351764,-0.82789894,0.428165983,0.921715369,-5.887160989,No Change,
1884,Q15404,Q15404,RSU1_HUMAN,RSU1,Ras suppressor protein 1,0.009816067,22.98347173,0.353552052,0.731444347,0.991575893,-6.172828461,No Change,
1885,Q15424,Q15424,SAFB1_HUMAN,SAFB,Scaffold attachment factor B1,-0.108243693,21.04466128,-2.653618614,0.025312212,0.591777236,-3.473361903,No Change,
1886,Q15427,Q15427,SF3B4_HUMAN,SF3B4,Splicing factor 3B subunit 4,0.014040017,22.6957255,0.206668456,0.840659042,0.997839254,-6.21623241,No Change,
1887,Q15428,Q15428,SF3A2_HUMAN,SF3A2,Splicing factor 3A subunit 2,-0.033516708,22.55749149,-0.757384438,0.467307654,0.940815682,-5.942808522,No Change,
1888,Q15435,Q15435,PP1R7_HUMAN,PPP1R7,Protein phosphatase 1 regulatory subunit 7,0.000603,23.85625674,0.020253106,0.984263221,0.999039915,-6.238697598,No Change,
1889,Q15436,Q15436,SC23A_HUMAN,SEC23A,Protein transport protein Sec23A,-0.081933171,20.81109184,-2.054568947,0.068654748,0.680714404,-4.39604624,No Change,
1890,Q15437,Q15437,SC23B_HUMAN,SEC23B,Protein transport protein Sec23B,-0.040805068,23.24676881,-1.439964135,0.182212173,0.790028641,-5.245054749,No Change,
1891,Q15459,Q15459,SF3A1_HUMAN,SF3A1,Splicing factor 3A subunit 1,-0.057306743,23.05087795,-1.263941799,0.236575905,0.828510248,-5.45566621,No Change,
1892,Q15506,Q15506,SP17_HUMAN,SPA17,Sperm surface protein Sp17,-0.114973536,19.26789581,-1.566345373,0.15014749,0.741528875,-5.08335817,No Change,
1893,Q15527,Q15527,SURF2_HUMAN,SURF2,Surfeit locus protein 2,0.022887682,20.09445396,0.448031971,0.664238837,0.986029677,-6.133222513,No Change,
1894,Q15528,Q15528,MED22_HUMAN,MED22,Mediator of RNA polymerase II transcription subunit 22,0.023007427,20.63088054,0.381493977,0.711284277,0.991575893,-6.162055424,No Change,
1895,Q15532,Q15532,SSXT_HUMAN,SS18,Protein SSXT,-0.032291817,20.12168677,-0.563236172,0.586404912,0.962754334,-6.072922399,No Change,
1896,Q15545,Q15545,TAF7_HUMAN,TAF7,Transcription initiation factor TFIID subunit 7,0.00896766,20.16064451,0.139085786,0.892305292,0.997839254,-6.228629057,No Change,
1897,Q15555,Q15555,MARE2_HUMAN,MAPRE2,Microtubule-associated protein RP/EB family member 2,0.000258608,20.32408928,0.006104907,0.995256126,0.999931129,-6.238896108,No Change,
1898,Q15599,Q15599,NHRF2_HUMAN,NHERF2,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,-0.004795578,18.85102282,-0.075320348,0.94153237,0.997839254,-6.235896906,No Change,
1899,Q15631,Q15631,TSN_HUMAN,TSN,Translin,0.01382112,24.94898811,0.371339906,0.718584245,0.991575893,-6.166062274,No Change,
1900,Q15637,Q15637,SF01_HUMAN,SF1,Splicing factor 1,-0.051018804,24.89542085,-1.010330894,0.337537323,0.88630494,-5.723978133,No Change,
1901,Q15648,Q15648,MED1_HUMAN,MED1,Mediator of RNA polymerase II transcription subunit 1,-0.078516123,18.25529916,-1.043451046,0.322729744,0.873454955,-5.691543618,No Change,
1902,Q15649,Q15649,ZNHI3_HUMAN,ZNHIT3,Zinc finger HIT domain-containing protein 3,0.019944233,20.27865621,0.316025077,0.758861221,0.992329784,-6.186041047,No Change,
1903,Q15651,P05204;Q15651,HMGN3_HUMAN,HMGN3,High mobility group nucleosome-binding domain-containing protein 3,-0.136310914,21.60349868,-2.034667254,0.070936394,0.689514031,-4.425580944,No Change,
1904,Q15652,Q15652,JHD2C_HUMAN,JMJD1C,Probable JmjC domain-containing histone demethylation protein 2C,0.00738452,19.58773349,0.10892326,0.915544271,0.997839254,-6.232604367,No Change,
1905,Q15654,Q15654,TRIP6_HUMAN,TRIP6,Thyroid receptor-interacting protein 6,-0.028351601,23.97836409,-0.665258308,0.521809663,0.950985604,-6.008880809,No Change,
1906,Q15691,Q15691,MARE1_HUMAN,MAPRE1,Microtubule-associated protein RP/EB family member 1,0.00426432,24.57916355,0.078363835,0.939175092,0.997839254,-6.235648078,No Change,
1907,Q15714,Q15714,T22D1_HUMAN,TSC22D1,TSC22 domain family protein 1,0.136621841,20.77195377,1.719075543,0.118155777,0.708582144,-4.877904938,No Change,
1908,Q15717,Q15717,ELAV1_HUMAN,ELAVL1,ELAV-like protein 1,0.05342489,20.73786115,1.678898553,0.125911912,0.713522757,-4.93292743,No Change,
1909,Q15723,Q15723,ELF2_HUMAN,ELF2,ETS-related transcription factor Elf-2,-0.066186093,19.55405313,-1.52465616,0.160128416,0.759830205,-5.137586164,No Change,
1910,Q15750,Q15750,TAB1_HUMAN,TAB1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,-0.013977429,22.2439257,-0.335221898,0.744789145,0.991575893,-6.179462704,No Change,
1911,Q15773,Q15773,MLF2_HUMAN,MLF2,Myeloid leukemia factor 2,-0.06167589,20.71337221,-1.389617411,0.19655132,0.807288127,-5.307126413,No Change,
1912,Q15785,Q15785,TOM34_HUMAN,TOMM34,Mitochondrial import receptor subunit TOM34,-0.047082768,22.72521047,-1.142757459,0.281300051,0.85016485,-5.589464063,No Change,
1913,Q15788,Q15788,NCOA1_HUMAN,NCOA1,Nuclear receptor coactivator 1,0.079010772,19.82600941,1.577941894,0.147470956,0.737048842,-5.068125333,No Change,
1914,Q15811,Q15811,ITSN1_HUMAN,ITSN1,Intersectin-1,-0.155956357,20.27993693,-3.674361067,0.004723701,0.471041069,-1.875609537,No Change,
1915,Q15813,Q15813,TBCE_HUMAN,TBCE,Tubulin-specific chaperone E,-0.020429788,22.82439924,-0.610266444,0.556093739,0.955287478,-6.044617246,No Change,
1916,Q15814,Q15814,TBCC_HUMAN,TBCC,Tubulin-specific chaperone C,-0.03676117,23.25030808,-1.127449772,0.28739984,0.853772674,-5.605658516,No Change,
1917,Q15819,Q15819,UB2V2_HUMAN,UBE2V2,Ubiquitin-conjugating enzyme E2 variant 2,-0.074497414,26.19324983,-1.724159836,0.117205916,0.707916317,-4.870895241,No Change,
1918,Q15831,Q15831,STK11_HUMAN,STK11,Serine/threonine-protein kinase STK11,0.009643376,20.46948543,0.258410095,0.801638033,0.996485993,-6.203499117,No Change,
1919,Q15843,Q15843,NEDD8_HUMAN,NEDD8,NEDD8,0.03684456,24.05755491,0.759584984,0.466051989,0.940668493,-5.941137424,No Change,
1920,Q15853,Q15853,USF2_HUMAN,USF2,Upstream stimulatory factor 2,-0.013367443,20.99970825,-0.3227646,0.753909937,0.992310181,-6.183774723,No Change,
1921,Q15907,P62491;Q15907,RB11B_HUMAN,RAB11B,Ras-related protein Rab-11B,0.023206818,25.68595403,0.836861322,0.423354143,0.921715369,-5.879781978,No Change,
1922,Q15942,Q15942,ZYX_HUMAN,ZYX,Zyxin,-0.012914556,23.0606851,-0.379468418,0.71273806,0.991575893,-6.162863083,No Change,
1923,Q16181,Q16181,SEPT7_HUMAN,SEPTIN7,Septin-7,-0.040947601,24.04510749,-1.328697554,0.215176949,0.816855133,-5.3803095,No Change,
1924,Q16186,Q16186,ADRM1_HUMAN,ADRM1,Proteasomal ubiquitin receptor ADRM1,-0.085018654,24.21383465,-1.354041663,0.207254783,0.814616529,-5.350126239,No Change,
1925,Q16204,Q16204,CCDC6_HUMAN,CCDC6,Coiled-coil domain-containing protein 6,-0.049287129,23.03013736,-1.497602795,0.166913701,0.767763143,-5.172316963,No Change,
1926,Q16222,Q16222,UAP1_HUMAN,UAP1,UDP-N-acetylhexosamine pyrophosphorylase,0.018052773,24.41469129,0.646939666,0.533088305,0.953904783,-6.021097669,No Change,
1927,Q16401,Q16401,PSMD5_HUMAN,PSMD5,26S proteasome non-ATPase regulatory subunit 5,-0.017722515,25.51877513,-0.423371198,0.681509818,0.986814215,-6.14442782,No Change,
1928,Q16513,Q16513,PKN2_HUMAN,PKN2,Serine/threonine-protein kinase N2,-0.000520705,22.55386563,-0.012724218,0.990112757,0.999931129,-6.238829762,No Change,
1929,Q16514,Q16514,TAF12_HUMAN,TAF12,Transcription initiation factor TFIID subunit 12,0.013259414,18.85354153,0.320532601,0.755548413,0.992310181,-6.184530464,No Change,
1930,Q16517,Q16517,NNAT_HUMAN,NNAT,Neuronatin,0.081780496,17.91233958,0.86250825,0.40978917,0.918071604,-5.858291582,No Change,
1931,Q16526,Q16526,CRY1_HUMAN,CRY1,Cryptochrome-1,0.005432617,19.57401568,0.048797737,0.962097648,0.999039915,-6.237648522,No Change,
1932,Q16531,Q16531,DDB1_HUMAN,DDB1,DNA damage-binding protein 1,0.025004044,25.72362226,0.993314282,0.345340539,0.891647976,-5.740318409,No Change,
1933,Q16537,Q16537,2A5E_HUMAN,PPP2R5E,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform,0.05459588,20.59618793,1.137754408,0.28328232,0.85016485,-5.594774936,No Change,
1934,Q16539,Q16539,MK14_HUMAN,MAPK14,Mitogen-activated protein kinase 14,0.844652931,23.83359922,1.705455339,0.120735036,0.708582144,-4.896631859,No Change,
1935,Q16540,Q16540,RM23_HUMAN,MRPL23,Large ribosomal subunit protein uL23m,0.017976954,21.80698344,0.287162693,0.780193389,0.996169381,-6.195216618,No Change,
1936,Q16543,Q16543,CDC37_HUMAN,CDC37,Hsp90 co-chaperone Cdc37,-0.083257677,26.67599501,-2.292566772,0.046292215,0.655200991,-4.035967796,No Change,
1937,Q16555,Q16555,DPYL2_HUMAN,DPYSL2,Dihydropyrimidinase-related protein 2,-0.00644863,22.18797868,-0.185295538,0.856918528,0.997839254,-6.220673143,No Change,
1938,Q16563,Q16563,SYPL1_HUMAN,SYPL1,Synaptophysin-like protein 1,-0.009495947,19.27153838,-0.143164338,0.889170673,0.997839254,-6.228017594,No Change,
1939,Q16576,Q16576,RBBP7_HUMAN,RBBP7,Histone-binding protein RBBP7,0.036534286,27.17760166,1.134424344,0.284607829,0.850729924,-5.598300217,No Change,
1940,Q16595,Q16595,FRDA_HUMAN,FXN,"Frataxin, mitochondrial",-0.030169343,24.48214558,-0.952119416,0.364783229,0.902707554,-5.778946825,No Change,
1941,Q16600,Q16600,ZN239_HUMAN,ZNF239,Zinc finger protein 239,0.005713907,18.73590048,0.11347565,0.912030864,0.997839254,-6.232066144,No Change,
1942,Q16610,Q16610,ECM1_HUMAN,ECM1,Extracellular matrix protein 1,0.053337797,18.46887844,0.567912465,0.583351314,0.961019494,-6.070202355,No Change,
1943,Q16626,Q16626,MEA1_HUMAN,MEA1,Male-enhanced antigen 1,0.061345811,23.02600661,1.352134058,0.207842388,0.814616529,-5.352411247,No Change,
1944,Q16630,Q16630,CPSF6_HUMAN,CPSF6,Cleavage and polyadenylation specificity factor subunit 6,-0.117303148,22.50184384,-2.812637324,0.01940113,0.562520052,-3.222532438,No Change,
1945,Q16643,Q16643,DREB_HUMAN,DBN1,Drebrin,-0.050593348,18.62964969,-0.609427549,0.556626537,0.955287478,-6.045140503,No Change,
1946,Q16644,Q16644,MAPK3_HUMAN,MAPKAPK3,MAP kinase-activated protein kinase 3,0.062041587,21.67214849,1.105549624,0.296306663,0.859416034,-5.628540603,No Change,
1947,Q16658,Q16658,FSCN1_HUMAN,FSCN1,Fascin,-0.009380166,28.20427591,-0.377496186,0.714154739,0.991575893,-6.163645477,No Change,
1948,Q16698,Q16698,DECR_HUMAN,DECR1,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial",-0.038196079,24.40446917,-1.080842965,0.30661148,0.859974907,-5.653943728,No Change,
1949,Q16718,Q16718,NDUA5_HUMAN,NDUFA5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,0.045831011,19.64233668,0.590059565,0.569007682,0.958721914,-6.057036307,No Change,
1950,Q16740,Q16740,CLPP_HUMAN,CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",0.182259305,24.3734458,4.807793356,0.000842297,0.190755579,-0.233973948,No Change,
1951,Q16763,Q16763,UBE2S_HUMAN,UBE2S,Ubiquitin-conjugating enzyme E2 S,-0.081952498,22.88634369,-2.38119446,0.039930503,0.6382195,-3.899252252,No Change,
1952,Q16773,Q16773,KAT1_HUMAN,KYAT1,Kynurenine--oxoglutarate transaminase 1,0.133365981,21.97178245,3.447655312,0.006804411,0.504224699,-2.224774737,No Change,
1953,Q16775,Q16775,GLO2_HUMAN,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",-0.004059159,21.4381987,-0.071225659,0.944704774,0.997839254,-6.236216146,No Change,
1954,Q16822,Q16822,PCKGM_HUMAN,PCK2,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",-0.094974674,22.84519031,-1.241434528,0.244413228,0.828510248,-5.481245192,No Change,
1955,Q16831,Q16831,UPP1_HUMAN,UPP1,Uridine phosphorylase 1,-0.221065847,17.94017784,-2.485941407,0.033515456,0.609226654,-3.736333332,No Change,
1956,Q16836,Q16836,HCDH_HUMAN,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",-0.046077473,23.41799831,-1.087573579,0.303777136,0.859974907,-5.647067013,No Change,
1957,Q16851,Q16851,UGPA_HUMAN,UGP2,UTP--glucose-1-phosphate uridylyltransferase,-0.002516991,25.16522424,-0.088973701,0.930962426,0.997839254,-6.234703696,No Change,
